,Shot rate,008.Filling  time [s],009. Plasticizing  time [s],000.Total  cycle time  [s],012.Min.melt  cushion [in],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],003. Clamping  force [kN],018. Change- over Melt  pressure  [bar],051.Shot  vol. before  injection [in],092.Peak  value  Holding  pressure  [psi],100.Melt  temperature  [F],111.Cooling  time [s],machine_id,order,datetime,filepath,group_id
92,100,5.42,22.73,96.55,0.82,2596.0,2595.0,11004.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
93,101,5.43,22.68,96.49,0.82,2609.0,2611.0,11011.3,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
94,102,5.42,22.75,96.54,0.82,2618.0,2618.0,11006.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
95,103,5.42,22.8,96.63,0.82,2611.0,2608.0,11002.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
96,104,5.42,22.67,96.56,0.82,2592.0,2590.0,11004.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
97,105,5.43,22.8,96.36,0.82,2608.0,2603.0,10989.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
98,106,5.42,22.79,96.58,0.82,2579.0,2577.0,10986.9,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
99,107,5.43,22.95,96.42,0.82,2611.0,2609.0,10995.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
100,108,5.42,22.57,96.59,0.82,2602.0,2599.0,10995.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
101,109,5.42,22.5,96.57,0.81,2598.0,2598.0,11003.7,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
102,110,5.43,22.79,96.66,0.81,2598.0,2596.0,11014.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
103,111,5.42,22.56,96.55,0.82,2593.0,2593.0,11018.8,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
104,112,5.42,22.69,96.6,0.82,2595.0,2593.0,11018.2,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
105,113,5.42,22.62,96.34,0.82,2582.0,2579.0,11013.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
106,114,5.42,22.81,96.37,0.81,2593.0,2590.0,11011.9,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
107,115,5.42,22.68,96.6,0.82,2590.0,2590.0,10997.3,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
108,116,5.42,22.58,96.7,0.82,2593.0,2592.0,11006.7,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
109,117,5.43,22.63,96.53,0.82,2616.0,2615.0,11002.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
110,118,5.43,22.66,96.66,0.81,2602.0,2601.0,11002.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
111,119,5.42,22.69,96.53,0.82,2576.0,2576.0,10996.8,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
112,120,5.42,22.71,96.66,0.82,2582.0,2579.0,10993.3,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 12:52:19,./test_data2/imm1_207.xls,5
